"","First.Name","Last.Name","Age","Rank","Classification","Date.of.Incident","Date.of.Death","Cause.Of.Death","Nature.Of.Death","Duty","Activity","Emergency","Property.Type","Year"
"297","David","Fontana",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"298","Robert","Foti",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"299","Andrew","Fredericks",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"300","Peter","Freund",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"301","Thomas","Gambino Jr.",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"302","Peter","Ganci Jr.",NA,"Chief of Department","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"303","Charles","Garbarini",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"304","Thomas","Gardner",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"305","Matthew","Garvey",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"306","Bruce","Gary",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"307","Gary","Geidel",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"308","Edward","Geraghty",NA,"Deputy Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"309","Denis","Germain",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"310","Vincent","Giammona",NA,"Captain","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"311","James","Giberson",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"312","Ronnie","Gies",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"313","Paul","Gill",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"314","John","Ginley",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"315","Jeffrey","Giordano",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"316","John","Giordano",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"317","Keith","Glascoe",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"318","James","Gray",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"319","Joseph","Grzelak",NA,"Battalion Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"320","Jose","Guadalupe",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"321","Geoffrey","Guja",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"322","Joseph","Gullickson",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"323","David","Halderman",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"324","Vincent","Halloran",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"325","Robert","Hamilton",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"326","Sean","Hanley",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"327","Thomas","Hannafin",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"328","Dana","Hannon",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"329","Daniel","Harlin",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"330","Harvey","Harrell",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"331","Stephen","Harrell",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"332","Timothy","Haskell",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"333","Thomas","Haskell Jr.",NA,"Battalion Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"334","Terence","Hatton",NA,"Captain","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"335","Michael","Haub",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"336","Michael","Healey",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"337","John","Heffernan",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"338","Ronnie","Henderson",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"339","William","Henry",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"340","Joseph","Henry",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"341","Thomas","Hetzel",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"342","Brian","Hickey",47,"Battalion Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"343","Timothy","Higgins",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"344","Jonathan","Hohmann",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"345","Thomas","Holohan",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"346","Joseph","Hunter",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"347","Walter","Hynes",NA,"Captain","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"348","Jonathon","Ielpi",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"349","Frederick","Ill Jr.",NA,"Captain","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"350","William","Johnston",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"351","Andrew","Jordan",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"352","Karl","Joseph",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"353","Anthony","Jovic",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"354","Angel","Juarbe Jr.",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"355","Mychal","Judge",68,"Chaplain","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"356","Vincent","Kane",NA,"Fire Marshal","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"357","Charles","Kasper",NA,"Deputy Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"358","Paul","Keating",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"359","Thomas","Kelly",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"360","Thomas","Kelly",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"361","Richard","Kelly Jr.",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"362","Thomas","Kennedy",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"363","Ronald","Kerwin",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"364","Michael","Kiefer",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"365","Robert","King Jr.",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"366","Scott","Kopytko",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"367","William","Krukowski",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"368","Kenneth","Kumpel",NA,"Fire Marshal","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"369","Thomas","Kuveikis",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"370","David","Laforge",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"371","William","Lake",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"372","Robert","Lane",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"373","Peter","Langone",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"374","Scott","Larsen",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"375","Joseph","Leavey",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"376","Neil","Leavy",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"377","Daniel","Libretti",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"378","Robert","Linnane",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"379","Michael","Lynch",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"380","Patrick","Lyons",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"381","Michael","Lyons",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"382","Joseph","Maffeo",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"383","William","Mahoney",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"384","Joseph","Maloney",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"385","Joseph","Marchbanks Jr.",47,"Deputy Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"386","Charles","Margiotta",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"387","Kenneth","Marino",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"388","John","Marshall",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"389","Peter","Martin",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"390","Paul","Martini",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"391","Joseph","Mascali",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"392","Keithroy","Maynard",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"393","Brian","McAleese",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"394","John","McAvoy",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"395","Thomas","McCann",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"396","William","McGinn",NA,"Captain","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"397","William","McGovern",NA,"Battalion Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"398","Dennis","McHugh",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"399","Robert","McPadden",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"400","Terence","McShane",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"401","Timothy","McSweeney",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"402","Martin","McWilliams",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"403","Robert","McMahon",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"404","Raymond","Meisenheimer",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"405","Charles","Mendez",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"406","Steve","Mercado",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"407","Douglas","Miller",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"408","Henry","Miller Jr.",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"409","Robert","Minara",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"410","Thomas","Mingione",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"411","Paul","Mitchell",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"412","Louis","Modafferi",NA,"Battalion Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"413","Dennis","Mojica",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"414","Manuel","Mojica",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"415","Carl","Molinaro",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"416","Michael","Montesi",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"417","Thomas","Moody",NA,"Captain","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"418","John","Moran",NA,"Battalion Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"419","Vincent","Morello",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"420","Christopher","Mozzillo",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"421","Richard","Muldowney Jr.",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"422","Michael","Mullan",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"423","Dennis","Mulligan",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"424","Raymond","Murphy",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"425","Robert","Nagel",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"426","John","Napolitano",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"427","Peter","Nelson",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"428","Gerard","Nevins",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"429","Daniel","O'Callaghan",NA,"Captain","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"430","William","O'Keefe",NA,"Captain","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"431","Patrick","O'Keefe",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"432","Kevin","O'Rourke",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"433","Dennis","O'Berg",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"434","Douglas","Oelschlager",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"435","Joseph","Ogren",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"436","Thomas","O'Hagan",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"437","Samuel","Oitice",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"438","Eric","Olsen",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"439","Jeffrey","Olsen",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"440","Steven","Olson",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"441","Michael","Otten",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"442","Jeffrey","Palazzo",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"443","Orio","Palmer",NA,"Deputy Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"444","Frank","Palombo",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"445","Paul","Pansini",NA,"Fire Marshal","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"446","John","Paolillo",NA,"Deputy Chief","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"447","James","Pappageorge",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"448","Robert","Parro",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"449","Durrell ","Pearsall",NA,"Firefighter","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"450","Glenn","Perry",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"451","Philip","Petti",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
"452","Kevin","Pfeifer",NA,"Lieutenant","Career","Sep 11, 2001","Sep 11, 2001","Collapse","Trauma","On-Scene Fire","Search and Rescue","Yes","Store/Office"," 2001"
